iter	Passed	Remaining
0	182	182610
1	191	95563
2	198	66000
3	209	52072
4	221	43998
5	229	38074
6	239	33945
7	248	30834
8	258	28455
9	268	26610
10	279	25172
11	290	23945
12	300	22847
13	310	21866
14	320	21044
15	329	20284
16	339	19640
17	348	18996
18	359	18553
19	372	18232
20	380	17747
21	392	17431
22	405	17234
23	415	16900
24	425	16582
25	435	16302
26	442	15956
27	451	15660
28	458	15355
29	467	15120
30	475	14877
31	483	14634
32	491	14391
33	499	14194
34	508	14016
35	517	13867
36	525	13669
37	534	13532
38	541	13344
39	550	13202
40	556	13027
41	565	12904
42	573	12757
43	582	12647
44	589	12510
45	598	12405
46	606	12306
47	614	12181
48	623	12094
49	630	11974
50	637	11869
51	645	11761
52	652	11654
53	659	11557
54	666	11453
55	674	11371
56	682	11290
57	690	11217
58	697	11130
59	706	11063
60	713	10979
61	721	10915
62	728	10839
63	737	10781
64	744	10707
65	751	10640
66	759	10570
67	766	10506
68	775	10464
69	785	10430
70	793	10386
71	804	10375
72	814	10339
73	824	10313
74	834	10286
75	842	10242
76	851	10209
77	860	10170
78	868	10128
79	876	10080
80	884	10033
81	892	9986
82	899	9937
83	907	9890
84	914	9839
85	921	9793
86	927	9738
87	936	9708
88	943	9658
89	952	9630
90	959	9579
91	967	9549
92	975	9511
93	984	9490
94	992	9455
95	1000	9425
96	1007	9380
97	1015	9345
98	1022	9305
99	1031	9284
100	1039	9248
101	1046	9213
102	1053	9178
103	1062	9151
104	1069	9116
105	1077	9090
106	1085	9057
107	1093	9030
108	1100	8997
109	1108	8969
110	1116	8944
111	1125	8924
112	1133	8895
113	1140	8860
114	1148	8835
115	1155	8802
116	1162	8773
117	1169	8743
118	1176	8713
119	1184	8683
120	1191	8658
121	1200	8640
122	1207	8612
123	1215	8588
124	1222	8556
125	1230	8537
126	1237	8504
127	1245	8484
128	1252	8454
129	1260	8435
130	1267	8407
131	1275	8384
132	1282	8359
133	1290	8341
134	1297	8312
135	1304	8290
136	1313	8274
137	1322	8263
138	1330	8242
139	1339	8230
140	1348	8212
141	1356	8195
142	1366	8192
143	1376	8179
144	1383	8158
145	1393	8150
146	1401	8131
147	1409	8111
148	1415	8087
